latitude,longitude,depth,time,year,month,day,hour,magnitude,rolling_mean_magnitude,time_since_last_hour,closest_eq_time,closest_eq_index,distance_to_closest_eq,time_diff_to_closest_eq
41.8679,82.4392,10.0,2025-05-04 06:45:42.713000+00:00,2025,5,4,6,4.5,4.5,0.0,2003-12-01 01:38:31.960000+00:00,1094,195.89645560442165,7825.2133189004635
45.5159,82.4568,10.0,2025-04-22 01:30:03.571000+00:00,2025,4,22,1,4.3,4.4,293.26087277777776,1962-08-19 18:26:41.340000+00:00,2152,117.757037496323,22891.29400730324
42.2858,81.1851,10.0,2025-04-20 15:48:42.167000+00:00,2025,4,20,15,4.2,4.333333333333333,33.689278888888886,2003-12-01 01:38:31.960000+00:00,1094,88.06722306103089,7811.5903959143525
44.7966,79.6886,10.0,2025-04-20 00:28:28.497000+00:00,2025,4,20,0,4.3,4.325,15.337130555555555,1962-08-19 18:26:41.340000+00:00,2152,148.4147547642101,22889.251240243055
41.3812,83.7123,10.0,2025-03-30 12:24:55.079000+00:00,2025,3,30,12,4.1,4.279999999999999,492.0592827777778,2012-06-29 21:07:33.860000+00:00,744,241.98003811095572,4656.6370511458335
42.7263,72.9645,24.0,2025-03-28 10:56:44.173000+00:00,2025,3,28,10,4.5,4.316666666666666,49.469696111111105,1992-08-19 03:20:27.940000+00:00,1684,72.6736394407673,11909.316854548611
42.7169,73.0072,10.0,2025-03-27 22:42:41.239000+00:00,2025,3,27,22,4.9,4.4,12.234148333333334,1992-08-19 03:20:27.940000+00:00,1684,70.66067776279533,11908.807098368055
41.5963,75.0811,10.0,2025-03-19 13:16:23.657000+00:00,2025,3,19,13,4.1,4.3625,201.43821722222225,1992-08-19 02:04:37.410000+00:00,1688,138.95012666194773,11900.466507488425
44.5223,80.0963,14.354,2025-03-10 20:14:58.567000+00:00,2025,3,10,20,4.1,4.333333333333333,209.0236361111111,1962-08-19 18:26:41.340000+00:00,2152,116.91054228733312,22849.075199386574
42.0037,82.67,10.0,2025-03-05 10:53:37.977000+00:00,2025,3,5,10,4.9,4.39,129.35571944444445,2003-12-01 01:38:31.960000+00:00,1094,203.57685417400737,7765.3854863078695
41.96,82.7616,10.0,2025-02-27 07:38:15.571000+00:00,2025,2,27,7,4.3,4.37,147.25622388888888,2003-12-01 01:38:31.960000+00:00,1094,212.5798214691444,7759.249810312499
41.9885,82.664,10.0,2025-02-27 07:26:59.141000+00:00,2025,2,27,7,4.6,4.4,0.18789722222222222,2003-12-01 01:38:31.960000+00:00,1094,204.00299249424978,7759.241981261574
41.3167,83.9197,10.0,2025-02-05 00:53:21.241000+00:00,2025,2,5,0,4.0,4.38,534.5605277777778,2012-06-29 21:07:33.860000+00:00,744,243.70306470241798,4603.156798391204
41.2296,83.7725,10.0,2025-02-04 23:42:32.536000+00:00,2025,2,4,23,5.0,4.45,1.1801958333333333,2012-06-29 21:07:33.860000+00:00,744,256.4082955705139,4603.107623564815
41.4108,83.5633,10.0,2025-01-28 04:16:08.625000+00:00,2025,1,28,4,4.1,4.45,187.43997527777776,2012-06-29 21:07:33.860000+00:00,744,243.32448933760628,4595.297624594908
41.023,84.0065,10.0,2025-01-19 23:51:57.427000+00:00,2025,1,19,23,4.4,4.4399999999999995,196.40311055555554,2012-06-29 21:07:33.860000+00:00,744,273.7478571189769,4587.114161655092
40.4132,80.5026,10.0,2025-01-19 06:30:02.566000+00:00,2025,1,19,6,4.2,4.37,17.365239166666665,1991-02-25 14:30:27.620000+00:00,1725,131.07552070194237,12381.666376689815
41.4151,79.0607,14.385,2025-01-10 17:48:49.160000+00:00,2025,1,10,17,4.5,4.41,204.68705722222222,1969-02-11 22:08:54.870000+00:00,2129,20.7990392700658,20421.819378356482
41.4441,81.9288,10.0,2025-01-05 15:37:00.655000+00:00,2025,1,5,15,4.5,4.45,122.19680694444445,2003-12-01 01:38:31.960000+00:00,1094,199.93687144339722,7706.582276562501
